Column Name0,1,2,3,4,5
PartA_Legumes_354-numberOfServingsEatenPerMonth,"0.0-->0.26450032177224914","0.26450032177224914-->0.5290006435444983","0.5290006435444983-->8.26450032177225","8.26450032177225-->16.0"
PartA_mixedVegetables_99-numberOfServingsEatenPerMonth,"0.0-->1.0621291035536573","1.0621291035536573-->2.1242582071073146","2.1242582071073146-->16.06212910355366","16.06212910355366-->30.0"
PartA_mixedVegetables_103-numberOfServingsEatenPerMonth,"0.0-->0.2729017064921997","0.2729017064921997-->0.5458034129843994","0.5458034129843994-->6.272901706492199","6.272901706492199-->12.0"
PartA_mixedVegetables_107-numberOfServingsEatenPerMonth,"0.0-->0.23948633579684106","0.23948633579684106-->0.4789726715936821","0.4789726715936821-->10.239486335796842","10.239486335796842-->20.0"
PartA_mixedVegetables_700-numberOfServingsEatenPerMonth,"0.0-->0.025337901894319365","0.025337901894319365-->0.05067580378863873","0.05067580378863873-->2.025337901894319","2.025337901894319-->4.0"
PartA_mixedVegetables_111-numberOfServingsEatenPerMonth,"0.0-->0.32998147064601224","0.32998147064601224-->0.6599629412920245","0.6599629412920245-->10.329981470646011","10.329981470646011-->20.0"
PartA_mixedVegetables_115-numberOfServingsEatenPerMonth,"0.0-->0.40427513417168043","0.40427513417168043-->0.8085502683433609","0.8085502683433609-->10.40427513417168","10.40427513417168-->20.0"
PartA_tofu_116-numberOfServingsEatenPerMonth,"0.0-->1.3622134998078772","1.3622134998078772-->2.7244269996157544","2.7244269996157544-->16.362213499807876","16.362213499807876-->30.0"
PartA_tofu_120-numberOfServingsEatenPerMonth,"0.0-->1.3113533430955189","1.3113533430955189-->2.6227066861910378","2.6227066861910378-->31.31135334309552","31.31135334309552-->60.0"
PartA_others_349-numberOfServingsEatenPerMonth,"0.0-->0.5009796251420638","0.5009796251420638-->1.0019592502841277","1.0019592502841277-->15.500979625142064","15.500979625142064-->30.0"
PartA_others_121-numberOfServingsEatenPerMonth,"0.0-->0.6540001016219289","0.6540001016219289-->1.3080002032438578","1.3080002032438578-->10.654000101621929","10.654000101621929-->20.0"
PartA_others_125-numberOfServingsEatenPerMonth,"0.0-->0.7929991088582371","0.7929991088582371-->1.5859982177164742","1.5859982177164742-->15.792999108858238","15.792999108858238-->30.0"
PartA_others_126-numberOfServingsEatenPerMonth,"0.0-->0.13738332973554584","0.13738332973554584-->0.2747666594710917","0.2747666594710917-->15.137383329735547","15.137383329735547-->30.0"
PartA_CannedVege_704-numberOfServingsEatenPerMonth,"0.0-->0.1798590885985687","0.1798590885985687-->0.3597181771971374","0.3597181771971374-->15.179859088598569","15.179859088598569-->30.0"
PartA_saladDressing_130-numberOfServingsEatenPerMonth,"0.0-->0.2339131733228289","0.2339131733228289-->0.4678263466456578","0.4678263466456578-->8.23391317332283","8.23391317332283-->16.0"
PartA_saladDressing_131-numberOfServingsEatenPerMonth,"0.0-->0.11819103566018661","0.11819103566018661-->0.23638207132037323","0.23638207132037323-->6.118191035660187","6.118191035660187-->12.0"
PartA_saladDressing_132-numberOfServingsEatenPerMonth,"0.0-->0.12031376634772217","0.12031376634772217-->0.24062753269544435","0.24062753269544435-->4.1203137663477225","4.1203137663477225-->8.0"
PartA_fruit_133-numberOfServingsEatenPerMonth,"0.0-->6.600900061233102","6.600900061233102-->13.201800122466205","13.201800122466205-->66.6009000612331","66.6009000612331-->120.0"
PartA_fruit_134-numberOfServingsEatenPerMonth,"0.0-->5.453588907499023","5.453588907499023-->10.907177814998047","10.907177814998047-->65.45358890749903","65.45358890749903-->120.0"
PartA_fruit_135-numberOfServingsEatenPerMonth,"0.0-->4.370755071742144","4.370755071742144-->8.741510143484287","8.741510143484287-->64.37075507174214","64.37075507174214-->120.0"
PartA_fruit_136-numberOfServingsEatenPerMonth,"0.0-->0.1274864441014458","0.1274864441014458-->0.2549728882028916","0.2549728882028916-->5.127486444101446","5.127486444101446-->10.0"
PartA_fruit_137-numberOfServingsEatenPerMonth,"0.0-->0.1022731248953545","0.1022731248953545-->0.204546249790709","0.204546249790709-->4.102273124895355","4.102273124895355-->8.0"
PartA_fruit_800-numberOfServingsEatenPerMonth,"0.0-->0.8058211769420567","0.8058211769420567-->1.6116423538841134","1.6116423538841134-->15.805821176942056","15.805821176942056-->30.0"
PartA_poultry_138-numberOfServingsEatenPerMonth,"0.0-->0.7042171964202452","0.7042171964202452-->1.4084343928404903","1.4084343928404903-->15.704217196420245","15.704217196420245-->30.0"
PartA_poultry_142-numberOfServingsEatenPerMonth,"0.0-->0.4922521303258583","0.4922521303258583-->0.9845042606517166","0.9845042606517166-->6.492252130325858","6.492252130325858-->12.0"
PartA_poultry_146-numberOfServingsEatenPerMonth,"0.0-->0.31613660663428134","0.31613660663428134-->0.6322732132685627","0.6322732132685627-->8.31613660663428","8.31613660663428-->16.0"
PartA_poultry_150-numberOfServingsEatenPerMonth,"0.0-->0.6306013848476596","0.6306013848476596-->1.2612027696953192","1.2612027696953192-->12.63060138484766","12.63060138484766-->24.0"
PartA_poultry_154-numberOfServingsEatenPerMonth,"0.0-->0.28803873379153583","0.28803873379153583-->0.5760774675830717","0.5760774675830717-->6.288038733791535","6.288038733791535-->12.0"
PartA_poultry_158-numberOfServingsEatenPerMonth,"0.0-->0.33373883537624055","0.33373883537624055-->0.6674776707524811","0.6674776707524811-->10.33373883537624","10.33373883537624-->20.0"
PartA_PoultryWithSkin_159-numberOfServingsEatenPerMonth,"0.0-->0.4070077975371108","0.4070077975371108-->0.8140155950742216","0.8140155950742216-->10.407007797537112","10.407007797537112-->20.0"
PartA_PoultryWithSkin_163-numberOfServingsEatenPerMonth,"0.0-->0.39397120061929725","0.39397120061929725-->0.7879424012385945","0.7879424012385945-->8.393971200619298","8.393971200619298-->16.0"
PartA_PoultryWithSkin_167-numberOfServingsEatenPerMonth,"0.0-->0.17140894268878182","0.17140894268878182-->0.34281788537756364","0.34281788537756364-->4.171408942688782","4.171408942688782-->8.0"
PartA_PoultryWithSkin_171-numberOfServingsEatenPerMonth,"0.0-->0.13825577440708764","0.13825577440708764-->0.2765115488141753","0.2765115488141753-->15.138255774407089","15.138255774407089-->30.0"
PartA_PoultryWithSkin_175-numberOfServingsEatenPerMonth,"0.0-->0.30857106120393624","0.30857106120393624-->0.6171421224078725","0.6171421224078725-->6.308571061203937","6.308571061203937-->12.0"
PartA_PoultryWithSkin_179-numberOfServingsEatenPerMonth,"0.0-->0.16501759532575802","0.16501759532575802-->0.33003519065151604","0.33003519065151604-->4.165017595325758","4.165017595325758-->8.0"
PartA_MeatLean_180-numberOfServingsEatenPerMonth,"0.0-->0.6899938129708486","0.6899938129708486-->1.3799876259416972","1.3799876259416972-->14.689993812970847","14.689993812970847-->28.0"
PartA_MeatLean_184-numberOfServingsEatenPerMonth,"0.0-->0.05796242119829196","0.05796242119829196-->0.11592484239658392","0.11592484239658392-->4.057962421198292","4.057962421198292-->8.0"
PartA_MeatLean_188-numberOfServingsEatenPerMonth,"0.0-->0.2191236116243076","0.2191236116243076-->0.4382472232486152","0.4382472232486152-->8.219123611624308","8.219123611624308-->16.0"
PartA_MeatLean_192-numberOfServingsEatenPerMonth,"0.0-->0.16977959030338605","0.16977959030338605-->0.3395591806067721","0.3395591806067721-->4.169779590303386","4.169779590303386-->8.0"
PartA_MeatLean_196-numberOfServingsEatenPerMonth,"0.0-->0.21330936821825444","0.21330936821825444-->0.4266187364365089","0.4266187364365089-->6.213309368218254","6.213309368218254-->12.0"
PartA_MeatLean_200-numberOfServingsEatenPerMonth,"0.0-->0.21742149692770332","0.21742149692770332-->0.43484299385540665","0.43484299385540665-->6.217421496927703","6.217421496927703-->12.0"
PartA_MeatLean_204-numberOfServingsEatenPerMonth,"0.0-->0.5441944311824033","0.5441944311824033-->1.0883888623648066","1.0883888623648066-->10.544194431182405","10.544194431182405-->20.0"
PartA_MeatLeanFat_205-numberOfServingsEatenPerMonth,"0.0-->0.23082494332315365","0.23082494332315365-->0.4616498866463073","0.4616498866463073-->8.230824943323153","8.230824943323153-->16.0"
PartA_MeatLeanFat_209-numberOfServingsEatenPerMonth,"0.0-->0.047191822919149695","0.047191822919149695-->0.09438364583829939","0.09438364583829939-->2.0471918229191495","2.0471918229191495-->4.0"
PartA_MeatLeanFat_213-numberOfServingsEatenPerMonth,"0.0-->0.04630177899639638","0.04630177899639638-->0.09260355799279275","0.09260355799279275-->2.0463017789963964","2.0463017789963964-->4.0"
PartA_MeatLeanFat_217-numberOfServingsEatenPerMonth,"0.0-->0.06258123329294218","0.06258123329294218-->0.12516246658588437","0.12516246658588437-->8.062581233292942","8.062581233292942-->16.0"
PartA_MeatLeanFat_221-numberOfServingsEatenPerMonth,"0.0-->0.24481308530290463","0.24481308530290463-->0.48962617060580926","0.48962617060580926-->10.244813085302905","10.244813085302905-->20.0"
PartA_MeatLeanFat_225-numberOfServingsEatenPerMonth,"0.0-->0.21719905274363394","0.21719905274363394-->0.43439810548726787","0.43439810548726787-->6.217199052743633","6.217199052743633-->12.0"
PartA_MeatLeanFat_229-numberOfServingsEatenPerMonth,"0.0-->0.3876831532072726","0.3876831532072726-->0.7753663064145452","0.7753663064145452-->15.387683153207274","15.387683153207274-->30.0"
PartA_MeatPreserved_230-numberOfServingsEatenPerMonth,"0.0-->0.31892703210786383","0.31892703210786383-->0.6378540642157277","0.6378540642157277-->15.318927032107863","15.318927032107863-->30.0"
PartA_MeatPreserved_231-numberOfServingsEatenPerMonth,"0.0-->0.16332722661721838","0.16332722661721838-->0.32665445323443676","0.32665445323443676-->4.163327226617218","4.163327226617218-->8.0"
PartA_MeatPreserved_232-numberOfServingsEatenPerMonth,"0.0-->0.041511814118572576","0.041511814118572576-->0.08302362823714515","0.08302362823714515-->2.0415118141185724","2.0415118141185724-->4.0"
PartA_MeatPreserved_233-numberOfServingsEatenPerMonth,"0.0-->0.08852984439686543","0.08852984439686543-->0.17705968879373085","0.17705968879373085-->4.088529844396866","4.088529844396866-->8.0"
PartA_MeatPreserved_234-numberOfServingsEatenPerMonth,"0.0-->0.18581580966387573","0.18581580966387573-->0.37163161932775146","0.37163161932775146-->4.185815809663875","4.185815809663875-->8.0"
PartA_Fish_3003-numberOfServingsEatenPerMonth,"0.0-->0.22162671925548763","0.22162671925548763-->0.44325343851097526","0.44325343851097526-->12.221626719255488","12.221626719255488-->24.0"
PartA_Fish_235-numberOfServingsEatenPerMonth,"0.0-->2.67572010758453","2.67572010758453-->5.35144021516906","5.35144021516906-->32.675720107584524","32.675720107584524-->60.0"
PartA_Fish_239-numberOfServingsEatenPerMonth,"0.0-->0.23808043539522808","0.23808043539522808-->0.47616087079045616","0.47616087079045616-->15.23808043539523","15.23808043539523-->30.0"
PartA_Fish_243-numberOfServingsEatenPerMonth,"0.0-->1.407876785821285","1.407876785821285-->2.81575357164257","2.81575357164257-->25.407876785821287","25.407876785821287-->48.0"
PartA_Fish_247-numberOfServingsEatenPerMonth,"0.0-->0.5728025737882396","0.5728025737882396-->1.1456051475764792","1.1456051475764792-->8.57280257378824","8.57280257378824-->16.0"
PartA_Fish_251-numberOfServingsEatenPerMonth,"0.0-->0.33406253405832115","0.33406253405832115-->0.6681250681166423","0.6681250681166423-->15.334062534058322","15.334062534058322-->30.0"
PartA_Fish_255-numberOfServingsEatenPerMonth,"0.0-->0.6418701216778495","0.6418701216778495-->1.283740243355699","1.283740243355699-->12.64187012167785","12.64187012167785-->24.0"
PartA_Fish_259-numberOfServingsEatenPerMonth,"0.0-->0.2801680294131525","0.2801680294131525-->0.560336058826305","0.560336058826305-->6.2801680294131526","6.2801680294131526-->12.0"
PartA_Fish_3004-numberOfServingsEatenPerMonth,"0.0-->0.46123891370060943","0.46123891370060943-->0.9224778274012189","0.9224778274012189-->10.461238913700608","10.461238913700608-->20.0"
PartA_OtherSeafood_263-numberOfServingsEatenPerMonth,"0.0-->0.5224566999343914","0.5224566999343914-->1.0449133998687827","1.0449133998687827-->6.522456699934391","6.522456699934391-->12.0"
PartA_OtherSeafood_267-numberOfServingsEatenPerMonth,"0.0-->0.03490738941330208","0.03490738941330208-->0.06981477882660415","0.06981477882660415-->2.034907389413302","2.034907389413302-->4.0"
PartA_OtherSeafood_271-numberOfServingsEatenPerMonth,"0.0-->0.18582157281998934","0.18582157281998934-->0.3716431456399787","0.3716431456399787-->8.18582157281999","8.18582157281999-->16.0"
PartA_OtherSeafood_275-numberOfServingsEatenPerMonth,"0.0-->0.10212015605263794","0.10212015605263794-->0.20424031210527588","0.20424031210527588-->2.102120156052638","2.102120156052638-->4.0"
PartA_OtherSeafood_279-numberOfServingsEatenPerMonth,"0.0-->0.0365324503231647","0.0365324503231647-->0.0730649006463294","0.0730649006463294-->4.036532450323165","4.036532450323165-->8.0"
PartA_OtherSeafood_283-numberOfServingsEatenPerMonth,"0.0-->0.10186061958664025","0.10186061958664025-->0.2037212391732805","0.2037212391732805-->6.10186061958664","6.10186061958664-->12.0"
PartA_OtherSeafood_287-numberOfServingsEatenPerMonth,"0.0-->0.031920682692236226","0.031920682692236226-->0.06384136538447245","0.06384136538447245-->2.031920682692236","2.031920682692236-->4.0"
PartA_WholeEggs_291-numberOfServingsEatenPerMonth,"0.0-->2.2413138961046597","2.2413138961046597-->4.482627792209319","4.482627792209319-->32.24131389610466","32.24131389610466-->60.0"
PartA_WholeEggs_292-numberOfServingsEatenPerMonth,"0.0-->2.460793854410688","2.460793854410688-->4.921587708821376","4.921587708821376-->18.46079385441069","18.46079385441069-->32.0"
PartA_EggWhites_751-numberOfServingsEatenPerMonth,"0.0-->0.10898516873879766","0.10898516873879766-->0.2179703374775953","0.2179703374775953-->12.108985168738798","12.108985168738798-->24.0"
PartA_EggWhites_752-numberOfServingsEatenPerMonth,"0.0-->0.01819944402008972","0.01819944402008972-->0.03639888804017944","0.03639888804017944-->2.0181994440200897","2.0181994440200897-->4.0"
PartA_DessertsInSoup_296-numberOfServingsEatenPerMonth,"0.0-->0.22161574154447747","0.22161574154447747-->0.44323148308895494","0.44323148308895494-->6.221615741544477","6.221615741544477-->12.0"
PartA_DessertsInSoup_297-numberOfServingsEatenPerMonth,"0.0-->0.370900498334744","0.370900498334744-->0.741800996669488","0.741800996669488-->10.370900498334743","10.370900498334743-->20.0"
PartA_KuehKueh_298-numberOfServingsEatenPerMonth,"0.0-->0.543427002354718","0.543427002354718-->1.086854004709436","1.086854004709436-->15.543427002354717","15.543427002354717-->30.0"
PartA_KuehKueh_299-numberOfServingsEatenPerMonth,"0.0-->0.14307893662196047","0.14307893662196047-->0.28615787324392095","0.28615787324392095-->2.1430789366219605","2.1430789366219605-->4.0"
PartA_OtherDesserts_300-numberOfServingsEatenPerMonth,"0.0-->0.48825500608800637","0.48825500608800637-->0.9765100121760127","0.9765100121760127-->30.488255006088007","30.488255006088007-->60.0"
PartA_OtherDesserts_301-numberOfServingsEatenPerMonth,"0.0-->0.3597386965150373","0.3597386965150373-->0.7194773930300746","0.7194773930300746-->6.359738696515037","6.359738696515037-->12.0"
PartA_OtherDesserts_302-numberOfServingsEatenPerMonth,"0.0-->0.28040140236868044","0.28040140236868044-->0.5608028047373609","0.5608028047373609-->8.28040140236868","8.28040140236868-->16.0"
PartA_OtherDesserts_303-numberOfServingsEatenPerMonth,"0.0-->0.17114984511940912","0.17114984511940912-->0.34229969023881823","0.34229969023881823-->8.171149845119409","8.171149845119409-->16.0"
PartA_Biscuits_304-numberOfServingsEatenPerMonth,"0.0-->5.196149343641166","5.196149343641166-->10.392298687282333","10.392298687282333-->80.19614934364117","80.19614934364117-->150.0"
PartA_Biscuits_305-numberOfServingsEatenPerMonth,"0.0-->0.6560745620020271","0.6560745620020271-->1.3121491240040541","1.3121491240040541-->30.65607456200203","30.65607456200203-->60.0"
PartA_Biscuits_306-numberOfServingsEatenPerMonth,"0.0-->0.4441044031132475","0.4441044031132475-->0.888208806226495","0.888208806226495-->8.444104403113247","8.444104403113247-->16.0"
PartA_Biscuits_307-numberOfServingsEatenPerMonth,"0.0-->0.2164573436778649","0.2164573436778649-->0.4329146873557298","0.4329146873557298-->4.216457343677865","4.216457343677865-->8.0"
PartA_Biscuits_308-numberOfServingsEatenPerMonth,"0.0-->0.15837936093762198","0.15837936093762198-->0.31675872187524395","0.31675872187524395-->4.158379360937622","4.158379360937622-->8.0"
PartA_Biscuits_309-numberOfServingsEatenPerMonth,"0.0-->0.1446017417540584","0.1446017417540584-->0.2892034835081168","0.2892034835081168-->15.144601741754059","15.144601741754059-->30.0"
PartA_FastFood_310-numberOfServingsEatenPerMonth,"0.0-->0.2659295363575417","0.2659295363575417-->0.5318590727150834","0.5318590727150834-->8.265929536357541","8.265929536357541-->16.0"
PartA_FastFood_311-numberOfServingsEatenPerMonth,"0.0-->0.16806619563570882","0.16806619563570882-->0.33613239127141764","0.33613239127141764-->4.168066195635709","4.168066195635709-->8.0"
PartA_FastFood_312-numberOfServingsEatenPerMonth,"0.0-->0.3736080681065632","0.3736080681065632-->0.7472161362131264","0.7472161362131264-->15.373608068106563","15.373608068106563-->30.0"
PartA_FastFood_313-numberOfServingsEatenPerMonth,"0.0-->0.16403899727373558","0.16403899727373558-->0.32807799454747116","0.32807799454747116-->2.1640389972737357","2.1640389972737357-->4.0"
PartA_FastFood_1100-numberOfServingsEatenPerMonth,"0.0-->0.08244983167218539","0.08244983167218539-->0.16489966334437078","0.16489966334437078-->4.082449831672186","4.082449831672186-->8.0"
PartA_Nuts_315-numberOfServingsEatenPerMonth,"0.0-->0.9400572908693957","0.9400572908693957-->1.8801145817387914","1.8801145817387914-->15.940057290869396","15.940057290869396-->30.0"
PartA_Nuts_316-numberOfServingsEatenPerMonth,"0.0-->0.20504432330156952","0.20504432330156952-->0.41008864660313904","0.41008864660313904-->8.20504432330157","8.20504432330157-->16.0"
PartA_Titbits_317-numberOfServingsEatenPerMonth,"0.0-->0.4633771486410506","0.4633771486410506-->0.9267542972821012","0.9267542972821012-->10.463377148641051","10.463377148641051-->20.0"
PartA_Titbits_318-numberOfServingsEatenPerMonth,"0.0-->0.6387928452367825","0.6387928452367825-->1.277585690473565","1.277585690473565-->10.638792845236782","10.638792845236782-->20.0"
PartA_Titbits_319-numberOfServingsEatenPerMonth,"0.0-->0.9329532584932377","0.9329532584932377-->1.8659065169864755","1.8659065169864755-->30.932953258493235","30.932953258493235-->60.0"
PartA_Beverage_N5-numberOfServingsEatenPerMonth,"2.0-->79.34112291718588","79.34112291718588-->156.68224583437177","156.68224583437177-->258.3411229171859","258.3411229171859-->360.0"
PartA_BeverageVegeFruit_N6-numberOfServingsEatenPerMonth,"0.0-->0.24379491873777126","0.24379491873777126-->0.4875898374755425","0.4875898374755425-->15.243794918737771","15.243794918737771-->30.0"
PartA_BeverageVegeFruit_N7-numberOfServingsEatenPerMonth,"0.0-->1.1438137557118404","1.1438137557118404-->2.287627511423681","2.287627511423681-->31.14381375571184","31.14381375571184-->60.0"
PartA_BeverageVegeFruit_N8-numberOfServingsEatenPerMonth,"0.0-->0.2024537223193114","0.2024537223193114-->0.4049074446386228","0.4049074446386228-->15.20245372231931","15.20245372231931-->30.0"
PartA_BeverageVegeFruit_N9-numberOfServingsEatenPerMonth,"0.0-->0.025013591353353768","0.025013591353353768-->0.050027182706707536","0.050027182706707536-->4.025013591353353","4.025013591353353-->8.0"
PartA_BeverageVegeFruit_N10-numberOfServingsEatenPerMonth,"0.0-->0.8897593226892677","0.8897593226892677-->1.7795186453785354","1.7795186453785354-->15.889759322689269","15.889759322689269-->30.0"
PartA_BeverageVegeFruit_N11-numberOfServingsEatenPerMonth,"0.0-->0.8625222292302628","0.8625222292302628-->1.7250444584605256","1.7250444584605256-->45.86252222923026","45.86252222923026-->90.0"
PartA_BeverageVegeFruit_N12-numberOfServingsEatenPerMonth,"0.0-->0.864139100093809","0.864139100093809-->1.728278200187618","1.728278200187618-->60.86413910009381","60.86413910009381-->120.0"
PartA_BeverageSoftDrinks_N13-numberOfServingsEatenPerMonth,"0.0-->0.1610074992517452","0.1610074992517452-->0.3220149985034904","0.3220149985034904-->15.161007499251745","15.161007499251745-->30.0"
PartA_BeverageSoftDrinks_N14-numberOfServingsEatenPerMonth,"0.0-->0.028004539845222134","0.028004539845222134-->0.05600907969044427","0.05600907969044427-->4.028004539845222","4.028004539845222-->8.0"
PartA_BeverageSoftDrinks_N15-numberOfServingsEatenPerMonth,"0.0-->0.5223401656387795","0.5223401656387795-->1.044680331277559","1.044680331277559-->30.522340165638777","30.522340165638777-->60.0"
PartA_BeverageSoftDrinks_N16-numberOfServingsEatenPerMonth,"0.0-->0.08429234921277423","0.08429234921277423-->0.16858469842554846","0.16858469842554846-->6.084292349212775","6.084292349212775-->12.0"
PartA_BeverageSoftDrinks_N17-numberOfServingsEatenPerMonth,"0.0-->0.6539880784536908","0.6539880784536908-->1.3079761569073816","1.3079761569073816-->30.653988078453693","30.653988078453693-->60.0"
PartA_PlainCoffee_N18-numberOfServingsEatenPerMonth,"0.0-->5.622593994045876","5.622593994045876-->11.245187988091752","11.245187988091752-->110.62259399404589","110.62259399404589-->210.0"
PartA_PlainCoffee_N19-numberOfServingsEatenPerMonth,"0.0-->5.147292444286888","5.147292444286888-->10.294584888573777","10.294584888573777-->65.14729244428689","65.14729244428689-->120.0"
PartA_PlainCoffee_N20-numberOfServingsEatenPerMonth,"0.0-->5.865961647433634","5.865961647433634-->11.731923294867268","11.731923294867268-->155.86596164743364","155.86596164743364-->300.0"
PartA_PlainCoffee_N21-numberOfServingsEatenPerMonth,"0.0-->0.004244808445801512","0.004244808445801512-->0.008489616891603024","0.008489616891603024-->0.5042448084458016","0.5042448084458016-->1.0"
PartA_PlainCoffee_N22-numberOfServingsEatenPerMonth,"0.0-->0.06656385529673443","0.06656385529673443-->0.13312771059346887","0.13312771059346887-->10.066563855296733","10.066563855296733-->20.0"
PartA_Tea_N23-numberOfServingsEatenPerMonth,"0.0-->0.2739715440158285","0.2739715440158285-->0.547943088031657","0.547943088031657-->15.273971544015827","15.273971544015827-->30.0"
PartA_Tea_N24-numberOfServingsEatenPerMonth,"0.0-->6.3848643238728515","6.3848643238728515-->12.769728647745703","12.769728647745703-->111.38486432387286","111.38486432387286-->210.0"
PartA_Tea_N25-numberOfServingsEatenPerMonth,"0.0-->1.431868728585754","1.431868728585754-->2.863737457171508","2.863737457171508-->61.431868728585755","61.431868728585755-->120.0"
PartA_Tea_N26-numberOfServingsEatenPerMonth,"0.0-->0.9756185911548482","0.9756185911548482-->1.9512371823096963","1.9512371823096963-->30.97561859115485","30.97561859115485-->60.0"
PartA_Tea_N27-numberOfServingsEatenPerMonth,"0.0-->0.26807252951800653","0.26807252951800653-->0.5361450590360131","0.5361450590360131-->15.268072529518006","15.268072529518006-->30.0"
PartA_Tea_N28-numberOfServingsEatenPerMonth,"0.0-->0.5618423166191645","0.5618423166191645-->1.123684633238329","1.123684633238329-->45.56184231661916","45.56184231661916-->90.0"
PartA_Malt_1320-numberOfServingsEatenPerMonth,"0.0-->2.3783306239065642","2.3783306239065642-->4.7566612478131285","4.7566612478131285-->62.378330623906564","62.378330623906564-->120.0"
PartA_MilkAsDrink_341-numberOfServingsEatenPerMonth,"0.0-->1.0454790023615423","1.0454790023615423-->2.0909580047230847","2.0909580047230847-->16.045479002361542","16.045479002361542-->30.0"
PartA_MilkAsDrink_342-numberOfServingsEatenPerMonth,"0.0-->2.795007622454611","2.795007622454611-->5.590015244909222","5.590015244909222-->62.79500762245461","62.79500762245461-->120.0"
PartA_MilkAsDrink_343-numberOfServingsEatenPerMonth,"0.0-->0.795081607909705","0.795081607909705-->1.59016321581941","1.59016321581941-->30.795081607909705","30.795081607909705-->60.0"
PartA_MilkAsDrink_N29-numberOfServingsEatenPerMonth,"0.0-->0.00981325542371396","0.00981325542371396-->0.01962651084742792","0.01962651084742792-->2.009813255423714","2.009813255423714-->4.0"
PartA_Yoghurt_344-numberOfServingsEatenPerMonth,"0.0-->0.5022830712353814","0.5022830712353814-->1.0045661424707628","1.0045661424707628-->15.50228307123538","15.50228307123538-->30.0"
PartA_Yoghurt_345-numberOfServingsEatenPerMonth,"0.0-->0.874904676554676","0.874904676554676-->1.749809353109352","1.749809353109352-->15.874904676554676","15.874904676554676-->30.0"
PartA_Yoghurt_N30-numberOfServingsEatenPerMonth,"0.0-->0.6812411314932789","0.6812411314932789-->1.3624822629865578","1.3624822629865578-->30.681241131493277","30.681241131493277-->60.0"
PartA_Cheese_346-numberOfServingsEatenPerMonth,"0.0-->0.4663199592709519","0.4663199592709519-->0.9326399185419038","0.9326399185419038-->30.46631995927095","30.46631995927095-->60.0"
PartA_Cheese_347-numberOfServingsEatenPerMonth,"0.0-->0.8613194090377887","0.8613194090377887-->1.7226388180755774","1.7226388180755774-->15.861319409037788","15.861319409037788-->30.0"
PartA_SoyaProducts_1200-numberOfServingsEatenPerMonth,"0.0-->1.4032038661697328","1.4032038661697328-->2.8064077323394656","2.8064077323394656-->16.403203866169733","16.403203866169733-->30.0"
PartA_SoyaProducts_1201-numberOfServingsEatenPerMonth,"0.0-->0.6981589868470323","0.6981589868470323-->1.3963179736940645","1.3963179736940645-->8.698158986847032","8.698158986847032-->16.0"
gender-adj,"0.0-->0.31418528416626557","0.31418528416626557-->0.6283705683325311","0.6283705683325311-->0.8141852841662656","0.8141852841662656-->1.0"
sample-id,"-1.0-->-0.5","-0.5-->0.0","0.0-->-0.5","-0.5-->-1"
RT,"-1.0-->-0.5","-0.5-->0.0","0.0-->-0.5","-0.5-->-1"