Lipid	Class	Coefficient
7897370	0	-0.0167593796489
7898616	0	-0.0126878741578
7898713	1	0.010742795877
7900639	0	-0.0135428222188
7901765	0	-0.0157397897643
7901982	1	0.0139146155714
7902353	0	-0.0131397909963
7902441	1	0.0161702237668
7902493	0	-0.0123902064328
7903753	1	0.0221063337998
7904293	1	0.0109915251338
7906757	1	0.010663799237
7906764	1	0.0180511100636
7906952	1	0.0185850713939
7908388	1	0.0140978587673
7908437	0	-0.025178860849
7908481	0	-0.0199593570204
7908488	1	0.0105538701852
7908841	0	-0.0152143409168
7909155	1	0.025157925081
7909306	0	-0.0250978311434
7909626	1	0.0118148338421
7909730	0	-0.0125080175273
7909866	1	0.0108918191026
7909931	0	-0.0106580256115
7910651	1	0.0194323605146
7911197	1	0.011149895165
7912133	1	0.020298521653
7917482	1	0.0127766732783
7919226	1	0.0191835861561
7921228	1	0.0105640365603
7921431	1	0.0112572992928
7921677	1	0.019250900328
7921862	1	0.0121350622026
7923534	0	-0.0147420631185
7925201	0	-0.010484505159
7926807	0	-0.0101008890997
7927099	0	-0.0110521722057
7929052	1	0.0163197087356
7930276	1	0.0107444080804
7930311	1	0.0114826941991
7932109	1	0.0127857475816
7932864	1	0.0106830288533
7932966	1	0.0122982493618
7934271	1	0.0102723816831
7934898	1	0.0110701937177
7936793	0	-0.0161629781205
7938049	0	-0.0214455679892
7938481	0	-0.0115552267893
7940210	0	-0.0103248013016
7940989	0	-0.0104693394768
7942315	0	-0.017373868796
7942645	0	-0.0118428554641
7942941	1	0.0133344288174
7943498	1	0.0137506415073
7944554	0	-0.0109938563326
7944911	1	0.0108942398951
7945162	1	0.0128513500584
7949971	0	-0.0124610057292
7950654	1	0.0130266578453
7950838	0	-0.0100948669572
7951165	1	0.0114406987397
7951235	0	-0.0161146029886
7951325	1	0.0187916453767
7951372	1	0.0145367090504
7951408	1	0.0131628304712
7951686	0	-0.010598419347
7953733	1	0.0161537535255
7953892	0	-0.0264050022744
7953901	0	-0.0328091576169
7959080	0	-0.0162825195407
7960828	1	0.0129533196266
7961173	0	-0.0109629526387
7961175	0	-0.0155243473803
7961182	0	-0.0174183971094
7961300	0	-0.0119132820131
7961363	0	-0.0191344138337
7961767	1	0.0108524201905
7961829	1	0.0103396621157
7962013	0	-0.0107652087079
7963333	0	-0.0128122883724
7967304	1	0.0202238847354
7967318	1	0.0212761978863
7968035	1	0.0114757146378
7968798	1	0.0167320681713
7969286	0	-0.0173396028308
7971905	1	0.0142861691351
7972003	0	-0.0155234577548
7973298	1	0.0208227400322
7973898	0	-0.0107621176212
7974653	1	0.0191574445729
7977767	1	0.0106387210683
7977928	1	0.0114472790698
7978343	0	-0.0114565922119
7978360	0	-0.0240240347635
7978690	1	0.0141396998139
7979387	0	-0.0100666363829
7979804	0	-0.0143231431029
7979916	0	-0.01215297444
7981266	1	0.0127035313807
7981708	1	0.0203210836217
7981955	0	-0.0129566828391
7981988	1	0.0106775827652
7982054	0	-0.0101540785794
7982593	0	-0.0130313331719
7983021	1	0.0199062037266
7983527	0	-0.0120852915739
7983553	1	0.017029359971
7983811	0	-0.0110471412645
7983867	1	0.011582496259
7985134	0	-0.0152900075791
7986348	0	-0.0255257995843
7987099	1	0.0148519710069
7988442	0	-0.0272067415768
7991546	1	0.0202590433794
7991742	0	-0.0308258790175
7993259	1	0.0120122434815
7993453	0	-0.0110394931009
7995776	1	0.0122056065305
7997008	0	-0.0106539957834
7997179	0	-0.0114577881648
7998601	0	-0.0111143431364
8001455	0	-0.0136759951293
8001464	0	-0.0113444184056
8003056	0	-0.0160246490531
8005289	0	-0.0106019261
8007169	1	0.0241833645312
8007790	1	0.010647105832
8008596	1	0.0142144125564
8013985	0	-0.0209808762083
8014257	1	0.0102715750543
8016016	0	-0.0106711103216
8016033	0	-0.00998497505351
8016578	0	-0.0105995702629
8016909	0	-0.0103266164968
8017702	0	-0.0100490469149
8019754	0	-0.0203622552697
8019964	1	0.0106959717451
8020149	0	-0.0144882893585
8021245	0	-0.0111002545805
8021374	0	-0.0142308263715
8022100	1	0.0114542479064
8022176	1	0.0105857251099
8022295	0	-0.0108384679912
8022692	1	0.0291244239723
8022711	0	-0.0101915272067
8022745	1	0.0113362392986
8023644	1	0.0115019442354
8026442	0	-0.0122837082828
8027260	1	0.014275070958
8027304	1	0.0159244505827
8029086	0	-0.0199487668701
8030049	1	0.0120588388689
8030789	1	0.0163087554561
8031387	1	0.0214741578338
8035847	1	0.0154307626715
8035886	0	-0.012239581623
8037205	0	-0.0193428827804
8039096	1	0.0123253319248
8040077	1	0.0118970193962
8044008	0	-0.0308631976773
8045674	1	0.011378006937
8045962	0	-0.0158221712968
8046014	1	0.0123404493436
8046116	1	0.0126878896128
8046213	1	0.013310562545
8047692	1	0.0117751992814
8047784	0	-0.0197292044958
8052940	1	0.0115960838185
8055967	0	-0.0104158795742
8055980	1	0.0125458448389
8056206	1	0.0114387422633
8056363	1	0.0105588135889
8056877	1	0.0232687933292
8057578	1	0.0160644095662
8059275	1	0.0120805426102
8059361	1	0.0127065026374
8061481	0	-0.023637146727
8062908	0	-0.0133608532878
8063433	0	-0.0124711642107
8063437	0	-0.0146795102144
8063442	0	-0.0143989358344
8063785	0	-0.018547156408
8064003	0	-0.00999111985894
8066786	1	0.0159069978438
8068375	0	-0.0104127424132
8068671	1	0.011464293643
8073522	1	0.0149496008307
8074196	0	-0.013402744147
8075934	1	0.0154832195448
8081034	1	0.0119805576389
8081115	1	0.0140952114464
8081212	0	-0.0352429089459
8081488	1	0.0129573454204
8081582	1	0.0128298075247
8081740	0	-0.0172521279328
8083415	1	0.0130217682417
8083599	1	0.0163741018105
8084788	1	0.0111309458813
8084794	1	0.0150909022344
8085571	1	0.0113640818047
8085912	1	0.0137969094286
8086344	0	-0.0137776214976
8086607	1	0.0108211510763
8091281	1	0.0104617382563
8091503	1	0.0188797815802
8091780	1	0.0111390288275
8093272	1	0.0127733393443
8094169	0	-0.0129372017643
8095519	0	-0.0102177193325
8095907	1	0.0126465652573
8096160	1	0.0233938982372
8096415	0	-0.0125390914642
8098368	0	-0.0157463408728
8098637	0	-0.0130864352666
8099506	1	0.0120555377424
8100154	1	0.0143816348234
8100971	1	0.0135115825335
8101256	1	0.010857531671
8101659	1	0.014144756641
8101723	1	0.0171112642601
8102532	1	0.0119674083297
8102592	1	0.0219063499662
8108475	1	0.0111415324706
8108832	0	-0.014761307938
8110499	0	-0.0116107328247
8110668	0	-0.013196633962
8112342	1	0.0104110986208
8113788	1	0.010451365073
8114593	0	-0.0138749013589
8116760	1	0.0138071523145
8116867	0	-0.010469623385
8116969	0	-0.0375692307005
8119198	1	0.0146083368374
8120675	0	-0.0298609890007
8120758	0	-0.0155202431386
8123398	0	-0.0142803544559
8123891	1	0.0156351443311
8124040	0	-0.0136539926497
8124588	0	-0.0232901265983
8127234	1	0.0114902602803
8129666	1	0.0127525458262
8129706	1	0.0106391428576
8131056	1	0.0132760535626
8131573	1	0.0110264491942
8131975	1	0.0118532202986
8133145	0	-0.0149698173799
8133752	1	0.0108677104515
8133976	1	0.0116283399614
8135480	0	-0.0173352620033
8135718	1	0.015280583161
8139158	0	-0.01347785561
8140650	1	0.011463960565
8140915	1	0.0109398423767
8140971	1	0.02303398082
8142232	0	-0.0176137120029
8142538	1	0.017681765992
8143463	1	0.0112690358333
8143887	1	0.0142419986243
8144721	1	0.0104713472292
8145736	1	0.0157841850535
8147123	1	0.0104252687661
8147447	0	-0.0128199357567
8147756	0	-0.0103933604479
8148304	1	0.0113838789562
8149104	0	-0.0419602903547
8149438	1	0.0152207695483
8150157	1	0.0104051476987
8150974	1	0.0128794606094
8151583	0	-0.0113295956403
8151587	1	0.012229597683
8151935	1	0.0172902832568
8152512	1	0.0114837480448
8153201	1	0.0108190465041
8154229	1	0.0270028727312
8154233	1	0.017169587676
8154531	1	0.0102953814033
8154563	1	0.019301632413
8154666	0	-0.00998727494467
8156024	1	0.0143630602609
8156577	1	0.0122217618888
8158028	1	0.01441345039
8160321	1	0.0124036267541
8160531	1	0.0216455618226
8161476	1	0.0122944510705
8162996	1	0.0104508216697
8163437	1	0.0123766867223
8163825	1	0.0104172761199